day,CpG,TT,TC,CT,CC
0,1,4429,1819,2206,27877
0,2,988,467,1291,33427
0,3,917,689,1537,33106
2,1,3973,1562,2089,22885
2,2,828,1027,919,27792
2,3,1143,980,1940,26531
4,1,6959,2140,3779,32124
4,2,1365,1372,2739,39418
4,3,2670,1754,2140,38349
6,1,6876,2013,3361,30935
6,2,1624,1568,2481,37464
6,3,2480,1810,2605,36267
8,1,6798,3959,6499,33195
8,2,3292,1891,5870,39339
8,3,3270,3961,3507,39672
10,1,8803,4718,6622,31396
10,2,4126,2658,6710,37930
10,3,4985,5137,5635,35672
12,1,10369,4510,9626,30851
12,2,4481,3738,8685,38468
12,3,6450,6231,4785,37929
14,1,7961,2815,6734,14552
14,2,4372,2382,5426,19849
14,3,5627,4581,3499,18318
16,1,12365,3408,8284,15472
16,2,8501,3088,8120,19785
16,3,11790,5704,4002,17966
18,1,8977,2479,5681,11608
18,2,5509,2154,5935,15105
18,3,8128,4055,2606,13897
20,1,11898,2760,6791,11496
20,2,7703,2755,6507,15918
20,3,10212,5373,3163,14139
