hours,CpG,TT,TC,CT,CC
2,1,4,46,137,2944
2,2,1,159,34,2887
2,3,2,195,77,2819
2,4,200,36,223,2649
2,5,164,47,96,2792
4,1,9,291,607,7071
4,2,5,172,266,7381
4,3,5,428,301,7191
4,4,286,59,454,7157
4,5,601,137,420,6853
6,1,439,101,797,7398
6,2,450,386,268,7266
6,3,451,805,286,7129
6,4,767,134,504,7172
6,5,1123,114,538,6974
8,1,802,228,579,4074
8,2,593,379,610,3613
8,3,826,958,263,3607
8,4,1083,467,341,3813
8,5,470,268,607,4371
10,1,561,285,588,1995
10,2,391,220,226,2388
10,3,452,502,284,2180
10,4,593,218,343,2270
10,5,573,377,362,2136
12,1,1475,611,814,3966
12,2,894,591,740,3956
12,3,1550,1092,557,3642
12,4,1785,442,780,3853
12,5,1191,418,931,4340
14,1,2024,514,1217,3489
14,2,1381,780,579,3718
14,3,2019,1168,664,3301
14,4,2134,546,843,3692
14,5,1827,432,1149,3838
16,1,4800,1119,1962,7822
16,2,3399,1293,1234,7985
16,3,4562,2016,1241,7724
16,4,5380,1192,1459,7651
16,5,4471,922,1742,8609
18,1,3461,1269,1880,9103
18,2,2761,1610,975,8881
18,3,3453,1856,1012,9287
18,4,4347,1072,1824,8374
18,5,3568,1207,1974,8974
20,1,3183,913,1093,5247
20,2,2313,939,847,5071
20,3,3207,1460,595,5019
20,4,3793,1012,928,4674
20,5,2687,675,1571,5433
24,1,676,335,472,4900
24,2,552,277,437,4669
24,3,837,723,371,4409
24,4,885,319,863,4300
24,5,1113,293,573,4414
