day,CpG,TT,TC,CT,CC
2,1,2347,2164,1241,8558
2,2,7740,2011,1369,3195
2,3,1395,1042,876,10907
2,4,1063,838,953,11421
2,5,253,384,100,13599
2,6,105,281,258,13649
2,7,303,267,119,13578
4,1,1316,1465,1004,6402
4,2,6018,1192,1181,1827
4,3,1045,822,843,7407
4,4,1032,1040,815,7284
4,5,206,412,398,9215
4,6,124,236,368,9456
4,7,271,293,261,9300
6,1,3092,1949,1398,7072
6,2,8240,1349,1324,2649
6,3,1505,1315,1036,9608
6,4,1967,1733,887,8944
6,5,738,705,767,11305
6,6,697,310,841,11589
6,7,374,277,185,12661
8,1,3945,1799,1488,3100
8,2,7650,1027,879,793
8,3,1214,2164,886,6003
8,4,2304,2373,1037,4579
8,5,1087,1330,985,6956
8,6,271,488,820,8747
8,7,166,414,239,9470
10,1,3391,1515,1058,2138
10,2,6143,769,586,637
10,3,1223,1955,778,4128
10,4,2290,2156,754,2882
10,5,1246,1314,919,4656
10,6,307,635,469,6665
10,7,170,390,153,7397
12,1,1466,536,518,663
12,2,2491,285,220,193
12,3,772,779,352,1261
12,4,1095,663,380,1035
12,5,602,445,455,1694
12,6,111,213,317,2540
12,7,28,108,81,2960
14,1,5680,1285,1134,1380
14,2,7884,514,657,447
14,3,3423,2210,1021,2778
14,4,4448,1882,946,2180
14,5,3013,1617,1312,3592
14,6,812,727,1137,6766
14,7,138,244,425,8659
16,1,4641,802,847,1010
16,2,6337,370,368,257
16,3,2909,1609,770,2003
16,4,3840,1157,800,1474
16,5,2278,1138,982,2942
16,6,937,761,1015,4576
16,7,136,247,323,6584
18,1,6875,1430,1448,1730
18,2,9634,670,694,518
18,3,5083,2443,1340,2612
18,4,5830,1853,1336,2457
18,5,3549,2011,1370,4616
18,6,1336,1052,1364,7734
18,7,242,412,640,10121
20,1,7107,1087,953,1191
20,2,9173,543,351,312
20,3,5183,1987,1063,2092
20,4,5944,1475,1026,1836
20,5,3836,1643,1381,3539
20,6,1472,1024,1492,6278
20,7,276,494,677,8844
24,1,4202,667,587,616
24,2,5456,252,232,152
24,3,2987,1277,595,1181
24,4,3280,906,691,1168
24,5,1952,1041,867,2216
24,6,628,508,837,4056
24,7,109,267,262,5387
